Suit,Shirt,Tie,Shoes,Rating,Comment
black,white,black,black,8,Black is nice but add some color!
Black,white,black,brown,6,Black shoes should always be worn with a black suit
black,white,navy,black,7,"Navy tie with a black suit is never good, try another color."
black,white,navy,brown,5,"Navy tie with a black suit is never good, try another color. Black shoes should always be worn with a black suit"
black,white,light blue,black,10, 
black,white,light blue,brown,8,Black shoes should always be worn with a black suit
black,white,red,black,10, 
black,white,red,brown,8,Black shoes should always be worn with a black suit
black,white,lavender,black,10, 
black,white,lavender,brown,8,Black shoes should always be worn with a black suit
Black,white,orange,black,10, 
black,white,orange,brown,8,Black shoes should always be worn with a black suit
black,white,brown,black,8, 
black,white,brown,brown,5,Black shoes should always be worn with a black suit
black,white,green,black,10, 
black,white,green,brown,8,Black shoes should always be worn with a black suit
black,white,yellow,black,10, 
black,white,yellow,brown,8,Black shoes should always be worn with a black suit
black,grey,black,black,10, 
Black,grey,black,brown,8,Black shoes should always be worn with a black suit
black,grey,navy,black,4,Too many dark- pick only one!
black,grey,navy,brown,1,Too many darks- pick only one or two!
black,grey,light blue,black,10, 
black,grey,light blue,brown,8,Black shoes should always be worn with a black suit
black,grey,red,black,10, 
black,grey,red,brown,7,Black shoes should always be worn with a black suit
black,grey,lavender,black,10, 
black,grey,lavender,brown,8,Black shoes should always be worn with a black suit
Black,grey,orange,black,10, 
black,grey,orange,brown,8,Black shoes should always be worn with a black suit
black,grey,brown,black,6,Too many darks- pick only one or two!
black,grey,brown,brown,5,Black shoes should always be worn with a black suit. Too many darks- pick only one or two
black,grey,green,black,9, 
black,grey,green,brown,7,Black shoes should always be worn with a black suit
black,grey,yellow,black,10, 
black,grey,yellow,brown,6,Black shoes should always be worn with a black suit. Too many darks- pick only one or two
black,light blue,black,black,10, 
black,light blue,black,brown,7,Black shoes should always be worn with a black suit
black,light blue,navy,black,8,"Navy tie with a black suit is never good, try another color."
black,light blue,navy,brown,6,"Navy tie with a black suit is never good, try another color. Black shoes should always be worn with a black suit"
black,light blue,light blue,black,9, 
black,light blue,light blue,brown,7,Black shoes should always be worn with a black suit
black,light blue,red,black,10, 
black,light blue,red,brown,8,Black shoes should always be worn with a black suit
black,light blue,lavender,black,10, 
black,light blue,lavender,brown,8,Black shoes should always be worn with a black suit
black,light blue,orange,black,10, 
black,light blue,orange,brown,8,Black shoes should always be worn with a black suit
black,light blue,brown,black,8, 
black,light blue,brown,brown,6,Black shoes should always be worn with a black suit
black,light blue,green,black,10, 
black,light blue,green,brown,8,Black shoes should always be worn with a black suit
black,light blue,yellow,black,10, 
black,light blue,yellow,brown,8,Black shoes should always be worn with a black suit
black,royal blue,black,black,10, 
black,royal blue,black,brown,8,Black shoes should always be worn with a black suit
black,royal blue,navy,black,8,Too many darks- pick only one or two!
black,royal blue,navy,brown,6,Too many darks- pick only one or two! Black shoes should always be worn with a black suit
black,royal blue,light blue,black,10, 
