Suit,Shirt,Tie,Shoes,Rating,Comment
black,white,black,black,8,Black is nice but add some color!
black,white,black,brown,6,Black shoes should always be worn with a black suit
black,white,rBlue,black,7,Navy tie with a black suit is never good try another color.
black,white,rBlue,brown,5,Navy tie with a black suit is never good try another color. Black shoes should always be worn with a black suit
black,white,lBlue,black,10,
black,white,lBlue,brown,8,Black shoes should always be worn with a black suit
black,white,red,black,10,
black,white,red,brown,8,Black shoes should always be worn with a black suit
black,white,lavender,black,10,
black,white,lavender,brown,8,Black shoes should always be worn with a black suit
black,white,orange,black,10,
black,white,orange,brown,8,Black shoes should always be worn with a black suit
black,white,brown,black,8,
black,white,brown,brown,5,Black shoes should always be worn with a black suit
black,white,green,black,10,
black,white,green,brown,8,Black shoes should always be worn with a black suit
black,white,yellow,black,10,
black,white,yellow,brown,8,Black shoes should always be worn with a black suit
black,gray,black,black,10,
black,gray,black,brown,8,Black shoes should always be worn with a black suit
black,gray,rBlue,black,4,Too many dark- pick only one!
black,gray,rBlue,brown,1,Too many darks- pick only one or two!
black,gray,lBlue,black,10,
black,gray,lBlue,brown,8,Black shoes should always be worn with a black suit
black,gray,red,black,10,
black,gray,red,brown,7,Black shoes should always be worn with a black suit
black,gray,lavender,black,10,
black,gray,lavender,brown,8,Black shoes should always be worn with a black suit
black,gray,orange,black,10,
black,gray,orange,brown,8,Black shoes should always be worn with a black suit
black,gray,brown,black,6,Too many darks- pick only one or two!
black,gray,brown,brown,5,Black shoes should always be worn with a black suit. Too many darks- pick only one or two
black,gray,green,black,9,
black,gray,green,brown,7,Black shoes should always be worn with a black suit
black,gray,yellow,black,10,
black,gray,yellow,brown,6,Black shoes should always be worn with a black suit. Too many darks- pick only one or two
black,lBlue,black,black,10,
black,lBlue,black,brown,7,Black shoes should always be worn with a black suit
black,lBlue,rBlue,black,8,Navy tie with a black suit is never good try another color.
black,lBlue,rBlue,brown,6,Navy tie with a black suit is never good try another color. Black shoes should always be worn with a black suit
black,lBlue,lBlue,black,9,
black,lBlue,lBlue,brown,7,Black shoes should always be worn with a black suit
black,lBlue,red,black,10,
black,lBlue,red,brown,8,Black shoes should always be worn with a black suit
black,lBlue,lavender,black,10,
black,lBlue,lavender,brown,8,Black shoes should always be worn with a black suit
black,lBlue,orange,black,10,
black,lBlue,orange,brown,8,Black shoes should always be worn with a black suit
black,lBlue,brown,black,8,
black,lBlue,brown,brown,6,Black shoes should always be worn with a black suit
black,lBlue,green,black,10,
black,lBlue,green,brown,8,Black shoes should always be worn with a black suit
black,lBlue,yellow,black,10,
black,lBlue,yellow,brown,8,Black shoes should always be worn with a black suit
black,rBlue,black,black,10,
black,rBlue,black,brown,8,Black shoes should always be worn with a black suit
black,rBlue,rBlue,black,8,Too many darks- pick only one or two!
black,rBlue,rBlue,brown,6,Too many darks- pick only one or two! Black shoes should always be worn with a black suit
black,rBlue,lBlue,black,10,
